Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1041,1,Apr 5,DET,@,KCR,"W,8-4",CG,5,4,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,.500,.600,.500,1.100,4,1.09,0.211,1.17,0.14%,1.70,1B
2,1042,2,Apr 7,DET,@,KCR,"L,2-3",CG(11),5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,.444,.500,.778,1.278,4,1.54,0.364,1.71,0.24%,0.41,1B
3,1043,3,Apr 8,DET,@,KCR,"W,7-3",CG,5,5,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,1,.571,.600,1.000,1.600,4,1.84,0.480,2.13,0.33%,3.23,1B
4,1044,4,Apr 9,DET,,CLE,"W,5-2",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.471,.526,.824,1.350,4,.61,-0.036,.73,-0.03%,-0.75,1B
5,1045,5,Apr 10,DET,,CLE,"W,4-2",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.450,.522,.750,1.272,4,.53,-0.013,.64,-0.01%,-0.77,1B
6,1046,6,Apr 11,DET,,CLE,"W,9-8",CG,6,3,2,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,.522,.621,.783,1.403,4,1.37,0.208,1.72,0.16%,1.94,1B
7,1047,7,Apr 12,DET,,KCR,"L,5-10",CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.481,.588,.704,1.292,4,.48,-0.004,.65,0.00%,-0.03,1B
8,1048,8,Apr 13,DET,,KCR,"W,6-5",CG,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.433,.553,.633,1.186,4,1.82,0.083,2.31,0.06%,0.37,1B
9,1049,9,Apr 14,DET,,KCR,"L,3-7",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.412,.524,.618,1.141,4,1.80,-0.185,2.33,-0.14%,-1.44,1B
10,1050,10,Apr 16,DET,@,SEA,"L,3-11",CG,4,4,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.395,.500,.605,1.105,4,.69,0.110,.81,0.08%,0.44,1B
11,1051,11,Apr 17,DET,@,SEA,"L,2-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.460,.548,1.008,4,1.28,-0.128,1.43,-0.09%,-0.80,1B
12,1052,12,Apr 18,DET,@,SEA,"W,4-2",CG,5,4,1,2,1,0,1,3,1,1,1,0,0,0,0,0,0,0,.370,.473,.630,1.103,4,1.25,0.193,1.31,0.12%,2.01,1B
13,1053,13,Apr 19,DET,@,LAA,"L,0-2",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.360,.458,.620,1.078,4,1.78,-0.067,1.93,-0.04%,-0.41,1B
14,1054,14,Apr 20,DET,@,LAA,"L,5-6",CG,5,5,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.364,.453,.618,1.071,4,1.18,0.138,1.28,0.09%,2.17,1B
15,1055,15,Apr 21,DET,@,LAA,"W,4-3",CG,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.373,.456,.678,1.134,4,1.20,0.369,1.31,0.24%,1.09,1B
16,1056,16,Apr 22,DET,@,LAA,"W,5-4",CG,5,4,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,.365,.452,.667,1.119,4,1.07,0.060,1.22,0.04%,0.92,1B
17,1057,17,Apr 23,DET,@,TEX,"L,4-5",CG,5,5,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.353,.436,.632,1.068,4,1.54,0.007,1.81,0.01%,0.48,1B
18,1058,18,Apr 24,DET,@,TEX,"W,8-4",CG,5,4,1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,.361,.446,.653,1.099,4,.63,0.136,.70,0.09%,0.83,1B
19,1059,19,Apr 25,DET,@,TEX,"L,4-8",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.347,.437,.627,1.063,4,.73,-0.086,.80,-0.06%,-1.07,1B
20,1060,20,Apr 26,DET,@,TEX,"W,8-6",CG,5,5,3,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.363,.446,.663,1.108,4,1.18,0.411,1.31,0.28%,1.30,1B
21,1061,21,Apr 27,DET,,MIN,"L,0-2",CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.357,.438,.655,1.092,4,1.56,-0.043,2.13,-0.04%,-0.15,1B
22,1062,22,Apr 28,DET,,MIN,"W,11-6",CG,5,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,.341,.426,.625,1.051,4,1.78,-0.034,2.35,-0.03%,-0.97,1B
23,1063,23,Apr 29,DET,,MIN,"W,3-0",CG,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.330,.419,.604,1.023,4,.56,-0.044,.77,-0.04%,-0.45,1B
24,1064,24,Apr 30,DET,,LAA,"W,10-6",CG,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.344,.427,.615,1.042,4,.54,0.054,.68,0.04%,1.07,1B
May,May,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
25,1065,25,May 1,DET,,LAA,"W,3-2",CG,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.343,.430,.606,1.036,4,1.37,0.100,1.67,0.07%,1.00,1B
26,1066,26,May 2,DET,,LAA,"W,5-1",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.340,.424,.592,1.016,4,.90,0.004,1.14,0.00%,0.17,1B
27,1067,27,May 3,DET,@,MIN,"L,4-10",GS-7,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.349,.430,.594,1.024,4,.41,0.039,.63,0.04%,0.65,1B
28,1068,28,May 4,DET,@,MIN,"L,3-4",CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.355,.432,.591,1.023,4,1.58,0.036,2.47,0.03%,0.57,1B
29,1069,29,May 5,DET,@,MIN,"L,4-5",CG,4,3,2,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,.372,.450,.655,1.104,4,.80,0.264,1.22,0.24%,2.64,1B
30,1070,30,May 8,DET,@,CLE,"W,6-4",CG,5,3,1,1,0,0,0,2,2,0,1,0,0,0,0,1,0,0,.371,.455,.647,1.102,4,1.68,0.237,2.18,0.18%,1.05,1B
31,1071,31,May 9,DET,@,CLE,"L,4-7",CG,4,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,.370,.457,.639,1.095,4,1.44,0.050,1.89,0.04%,0.73,1B
32,1072,32,May 10,DET,,NYY,"W,5-4",CG,4,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.377,.465,.648,1.112,4,.60,0.046,.78,0.04%,0.62,1B
33,1073,33,May 12 (1),DET,,NYY,"W,2-0",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.376,.462,.640,1.102,4,.85,-0.006,1.08,0.00%,0.05,1B
34,1074,34,May 12 (2),DET,,NYY,"L,0-8",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.372,.456,.636,1.092,4,1.04,-0.019,1.35,-0.02%,-0.31,1B
35,1075,35,May 13,DET,,NYY,"W,6-0",CG,4,4,2,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.376,.458,.662,1.119,4,.53,0.122,.67,0.09%,1.89,1B
36,1076,36,May 14,DET,,BOS,"L,2-7",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.365,.446,.642,1.088,4,.91,-0.103,1.21,-0.08%,-1.66,1B
37,1077,37,May 15,DET,,BOS,"W,7-6",CG(12),6,4,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.362,.448,.631,1.079,4,1.74,-0.002,2.16,0.00%,0.32,1B
38,1078,38,May 16,DET,,BOS,"W,5-1",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.354,.443,.618,1.061,4,.64,-0.002,.82,0.00%,-0.37,1B
39,1079,39,May 18,DET,,CHW,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.345,.433,.601,1.034,4,2.22,-0.234,3.11,-0.20%,-1.62,1B
40,1080,40,May 19,DET,@,OAK,"W,5-1",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.336,.426,.586,1.012,4,.60,-0.040,.74,-0.03%,-0.72,1B
41,1081,41,May 20,DET,@,OAK,"W,5-2",CG,4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,1,0,0,.340,.428,.603,1.030,4,.76,0.121,.94,0.09%,1.00,1B
42,1082,42,May 21,DET,@,LAD,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.331,.418,.588,1.006,4,.66,-0.067,.90,-0.06%,-0.68,1B
43,1083,43,May 22,DET,@,LAD,"L,4-6",CG,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.418,.588,1.006,4,1.25,-0.004,1.59,0.00%,0.01,1B
44,1084,44,May 23,DET,@,LAD,"W,6-2",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,1,0,1,0,.331,.415,.598,1.012,4,.61,0.140,.75,0.10%,1.59,1B
45,1085,47 (2),May 28,DET,,OAK,"L,4-5",CG,4,4,3,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,.341,.421,.653,1.074,4,1.05,0.423,1.37,0.33%,3.77,1B
46,1086,48,May 29,DET,,OAK,"L,0-6",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.339,.418,.644,1.062,4,.72,0.031,.89,0.02%,-0.28,1B
47,1087,49,May 30,DET,,OAK,"W,10-2",CG,5,5,1,4,1,0,1,4,0,0,1,0,0,0,0,0,0,0,.352,.427,.670,1.098,4,.48,0.119,.56,0.08%,4.24,1B
48,1088,50,May 31,DET,,OAK,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.344,.419,.656,1.075,4,.97,-0.101,1.19,-0.08%,-0.89,1B
Jun,Jun,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
49,1089,51,Jun 1,DET,,CLE,"L,2-3",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.347,.421,.658,1.078,4,1.09,-0.025,1.28,-0.02%,0.04,1B
50,1090,52,Jun 2,DET,,CLE,"W,3-0",CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.351,.422,.670,1.092,4,.60,0.116,.67,0.08%,0.99,1B
51,1091,53,Jun 3,DET,,CLE,"W,12-6",CG,5,2,2,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,.352,.426,.684,1.110,4,.79,0.024,.96,0.02%,1.22,1B
52,1092,54,Jun 4,DET,@,KCR,"L,3-7",CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.355,.427,.680,1.107,4,.81,0.041,1.05,0.03%,0.71,1B
53,1093,55,Jun 5,DET,@,KCR,"W,4-2",CG,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.358,.429,.691,1.120,4,.69,0.169,.83,0.12%,0.88,1B
54,1094,56,Jun 6,DET,@,KCR,"L,2-7",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.351,.421,.678,1.099,4,.59,-0.056,.75,-0.04%,-1.05,1B
55,1095,57,Jun 8,DET,@,CHW,"W,7-2",CG,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.344,.417,.665,1.082,4,1.35,-0.093,1.72,-0.07%,-1.17,1B
56,1096,58,Jun 9,DET,@,CHW,"L,3-15",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.343,.414,.671,1.085,4,.55,-0.036,.70,-0.03%,0.41,1B
57,1097,59,Jun 10,DET,@,CHW,"L,0-3",CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.339,.415,.665,1.080,4,2.00,-0.082,2.35,-0.06%,-0.51,1B
58,1098,60,Jun 11,DET,,PIT,"W,6-2",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.409,.653,1.062,4,.66,-0.070,.69,-0.04%,-1.02,1B
59,1099,61,Jun 12,DET,,PIT,"W,4-3",CG(10),5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.332,.409,.646,1.055,4,2.45,-0.149,2.67,-0.10%,-0.50,1B
60,1100,62,Jun 13,DET,,PIT,"W,4-3",CG,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,.330,.406,.652,1.058,4,2.09,0.513,2.35,0.35%,1.67,1B
61,1101,63,Jun 15,DET,,WSN,"W,7-4",CG,5,3,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,.330,.410,.652,1.062,4,.84,0.099,1.07,0.08%,0.34,1B
62,1102,64,Jun 16,DET,,WSN,"W,8-3",CG,4,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.331,.411,.648,1.059,4,.63,0.034,.84,0.03%,0.28,1B
63,1103,65,Jun 17,DET,,WSN,"W,8-3",CG,5,5,1,2,1,0,0,3,0,0,1,0,0,0,0,1,0,0,.332,.411,.647,1.058,4,.75,0.056,.94,0.04%,1.32,1B
64,1104,66,Jun 18,DET,,ARI,"W,7-5",GS-5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.331,.412,.645,1.056,4,.38,0.009,.49,0.01%,0.02,1B
65,1105,67,Jun 19,DET,,ARI,"L,5-6",CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.329,.411,.638,1.050,4,2.06,-0.118,2.76,-0.10%,0.53,1B
66,1106,68,Jun 20,DET,,ARI,"W,3-1",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.328,.409,.632,1.041,4,1.12,0.008,1.47,0.01%,-0.34,1B
67,1107,69,Jun 22,DET,@,NYM,"L,6-14",CG,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.327,.409,.630,1.039,4,.22,-0.024,.30,-0.02%,0.16,1B
