Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
2010,1,675,1,4-Apr,NYY,@,BOS,"L,7-9",CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.25,0.4,1,1.4,7,0.93,0.002,1,0.00%,-0.06,CF
2010,2,676,2,6-Apr,NYY,@,BOS,"W,6-4",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.333,0.625,0.958,9,2.41,-0.207,2.47,-0.13%,-1.5,CF
2010,3,677,3,7-Apr,NYY,@,BOS,"W,3-1",CG(10),4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0.333,0.385,0.833,1.218,7,1.55,0.31,1.77,0.21%,0.94,CF
2010,4,678,4,9-Apr,NYY,@,TBR,"L,3-9",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.25,0.294,0.625,0.919,9,0.69,-0.071,0.85,-0.05%,-1.2,CF
2010,5,679,5,10-Apr,NYY,@,TBR,"W,10-0",CG,5,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.316,0.409,0.632,1.041,7,0.38,0.04,0.45,0.03%,1.54,CF
2010,6,680,6,11-Apr,NYY,@,TBR,"W,7-3",CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.348,0.423,0.652,1.075,7,1.23,0.188,1.52,0.14%,1.47,CF
2010,7,681,7,13-Apr,NYY,,LAA,"W,7-5",CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.357,0.419,0.607,1.026,7,0.71,-0.023,0.79,-0.02%,-0.46,CF
2010,8,682,8,14-Apr,NYY,,LAA,"L,3-5",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.371,0.531,0.903,7,1.48,-0.156,1.62,-0.10%,-1.26,CF
2010,9,683,9,15-Apr,NYY,,LAA,"W,6-2",CG,4,4,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.385,0.639,1.024,8,0.68,0.099,0.77,0.07%,1.22,CF
2010,10,684,10,16-Apr,NYY,,TEX,"W,5-1",CG(6),3,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.308,0.357,0.59,0.947,8,1.5,0.117,1.74,0.08%,0.99,CF
2010,11,685,11,17-Apr,NYY,,TEX,"W,7-3",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0.37,0.605,0.974,7,0.66,0.075,0.83,0.06%,1.56,CF
2010,12,686,12,18-Apr,NYY,,TEX,"W,5-2",CG,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.311,0.38,0.578,0.958,7,0.93,0.074,1.08,0.05%,0.56,CF
2010,13,687,13,20-Apr,NYY,@,OAK,"W,7-3",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.313,0.389,0.563,0.951,8,0.42,-0.03,0.54,-0.02%,-0.01,CF
2010,14,688,14,21-Apr,NYY,@,OAK,"W,3-1",CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.362,0.519,0.881,7,0.84,-0.082,1.08,-0.06%,-1.06,CF
2010,15,689,15,22-Apr,NYY,@,OAK,"L,2-4",7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.356,0.509,0.865,7,0.9,-0.022,1.15,-0.02%,-0.16,PH CF
2010,16,690,16,23-Apr,NYY,@,LAA,"L,4-6",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.268,0.349,0.482,0.831,7,1.3,-0.046,1.65,-0.04%,-0.29,CF
2010,17,691,17,24-Apr,NYY,@,LAA,"W,7-1",CG,4,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.259,0.358,0.466,0.824,7,0.72,-0.026,0.89,-0.02%,-0.03,CF
2010,18,692,18,25-Apr,NYY,@,LAA,"L,4-8",CG,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.246,0.343,0.443,0.785,8,0.63,-0.047,0.81,-0.04%,-0.65,CF
2010,19,693,19,27-Apr,NYY,@,BAL,"L,4-5",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.231,0.324,0.415,0.74,7,0.94,-0.096,1.21,-0.07%,-0.98,CF
2010,20,694,20,28-Apr,NYY,@,BAL,"W,8-3",CG,5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.243,0.329,0.414,0.743,7,0.32,0.029,0.41,0.02%,-0.22,CF
2010,21,695,21,29-Apr,NYY,@,BAL,"W,4-0",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.313,0.392,0.705,7,0.77,-0.08,0.97,-0.06%,-1.6,CF
2010,22,696,22,30-Apr,NYY,,CHW,"W,6-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.221,0.31,0.377,0.687,7,0.96,-0.093,1.25,-0.07%,-0.61,CF
2010,23,697,23,1-May,NYY,,CHW,"L,6-7",GS-6,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.311,0.375,0.686,8,0.86,0.041,1.1,0.03%,0.32,CF
2010,24,698,48 (24),28-May,NYY,,CLE,"W,8-2",CG,5,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.229,0.326,0.386,0.712,2,0.56,0.004,0.74,0.00%,1.57,CF
2010,25,699,49,29-May,NYY,,CLE,"L,11-13",9-GF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.229,0.333,0.386,0.719,8,0.53,0.031,0.77,0.03%,0.36,PH
2010,26,700,50,30-May,NYY,,CLE,"W,7-3",CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.33,0.391,0.721,2,1.32,-0.007,1.73,-0.01%,-0.35,CF
2010,27,701,51,31-May,NYY,,CLE,"W,11-2",CG,5,5,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.239,0.333,0.402,0.736,2,1.18,-0.039,1.59,-0.03%,-0.72,CF
