Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,336,1,5-Apr,TEX,,TOR,"W,5-4",CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.25,0,0.25,3,1.69,-0.176,1.65,-0.10%,-0.62,LF
2,337,2,7-Apr,TEX,,TOR,"L,4-7",CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.125,0,0.125,3,1.2,-0.124,1.26,-0.08%,-0.93,LF
3,338,3,8-Apr,TEX,,TOR,"L,1-3",7-GF,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,8,1.12,-0.04,1.14,-0.03%,-0.25,PH LF
4,339,4,9-Apr,TEX,,SEA,"W,6-2",CG,4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.091,0.286,0.182,0.468,3,0.66,0.013,0.79,0.01%,1.15,LF
5,340,5,10-Apr,TEX,,SEA,"L,3-4",CG,4,2,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0.154,0.389,0.385,0.774,3,0.71,0.126,0.88,0.09%,1.29,LF
6,341,6,11-Apr,TEX,,SEA,"W,9-2",CG,5,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.235,0.435,0.529,0.964,3,0.53,0.073,0.6,0.05%,0.87,CF
7,342,7,12-Apr,TEX,@,CLE,"W,4-2",CG(10),5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.227,0.393,0.455,0.847,3,1.65,0.021,1.74,0.01%,-0.32,LF CF
8,343,8,14-Apr,TEX,@,CLE,"W,6-2",CG,5,4,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.308,0.455,0.538,0.993,3,0.63,0.112,0.67,0.07%,1.32,LF
9,344,9,15-Apr,TEX,@,CLE,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.267,0.405,0.467,0.872,3,1.45,-0.107,1.59,-0.07%,-0.81,CF
10,345,10,16-Apr,TEX,@,NYY,"L,1-5",CG(6),3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.273,0.4,0.485,0.885,3,1.16,0.023,1.27,0.02%,0.33,LF
11,346,11,17-Apr,TEX,@,NYY,"L,3-7",CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0.364,0.432,0.796,3,0.46,-0.046,0.51,-0.03%,-1.17,LF
12,347,12,18-Apr,TEX,@,NYY,"L,2-5",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.333,0.39,0.724,3,1.05,-0.104,1.06,-0.06%,-1.07,CF
13,348,13,20-Apr,TEX,@,BOS,"L,6-7",CG,5,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.205,0.34,0.364,0.703,3,0.71,-0.01,0.69,-0.01%,-0.99,LF
14,349,14,21-Apr,TEX,@,BOS,"L,7-8",CG(12),5,4,2,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.25,0.379,0.458,0.838,3,1.41,0.426,1.23,0.22%,3.48,LF
15,350,15,22-Apr,TEX,@,BOS,"W,3-0",CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.371,0.462,0.833,3,0.88,0.047,0.74,0.02%,-0.32,LF
16,351,16,23-Apr,TEX,,DET,"W,5-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.232,0.348,0.429,0.777,3,0.78,-0.081,0.7,-0.04%,-1.26,LF
17,352,17,24-Apr,TEX,,DET,"L,4-8",CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.23,0.338,0.41,0.748,3,0.69,-0.031,0.64,-0.02%,-1.05,LF
18,353,19 (1),26-Apr,TEX,,DET,"L,6-8",CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.242,0.342,0.455,0.797,3,1.28,-0.081,1.27,-0.05%,0.09,LF
19,354,20,27-Apr,TEX,,CHW,"W,4-2",CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.257,0.35,0.471,0.821,3,0.76,0.047,0.63,0.02%,0.37,LF
20,355,21,28-Apr,TEX,,CHW,"W,6-5",CG,5,5,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.253,0.341,0.493,0.835,3,0.47,0.117,0.44,0.07%,0.37,LF
21,356,22,29-Apr,TEX,,CHW,"L,5-7",CG,4,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.278,0.36,0.519,0.879,3,0.98,0.075,0.97,0.04%,1.19,LF
22,357,23,30-Apr,TEX,@,SEA,"W,2-0",CG(12),5,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.265,0.351,0.494,0.845,3,1.06,-0.102,1.19,-0.07%,-0.26,LF
23,358,24,1-May,TEX,@,SEA,"W,6-3",CG,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.273,0.354,0.523,0.876,3,0.65,0.074,0.79,0.05%,0.62,LF
24,359,25,2-May,TEX,@,SEA,"W,3-1",CG(11),5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.346,0.505,0.852,4,0.97,-0.087,1.29,-0.07%,-0.37,LF
25,360,26,3-May,TEX,@,OAK,"W,4-2",CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.278,0.352,0.505,0.857,3,0.89,0.042,1.25,0.04%,0.99,LF
26,361,27,4-May,TEX,@,OAK,"L,6-7",CG,4,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.283,0.366,0.505,0.871,3,1.21,0.086,1.76,0.08%,0.74,LF
27,362,28,5-May,TEX,@,OAK,"L,1-4",CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.282,0.362,0.495,0.857,3,1.1,0.031,1.62,0.03%,0.27,LF
28,363,29,6-May,TEX,,KCR,"W,13-12",CG,5,5,4,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0.296,0.372,0.537,0.909,3,1.05,0.435,1.16,0.29%,2.53,LF
29,364,30,7-May,TEX,,KCR,"W,4-1",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.288,0.368,0.523,0.891,3,0.6,-0.016,0.72,-0.01%,-0.16,LF
30,365,31,8-May,TEX,,KCR,"W,3-2",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.287,0.364,0.513,0.877,3,1.22,0.048,1.37,0.03%,0.17,LF
31,366,32,9-May,TEX,,KCR,"W,6-4",CG,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.277,0.353,0.496,0.849,3,1.83,-0.124,2.18,-0.09%,-1.25,LF
32,367,33,11-May,TEX,,OAK,"L,6-7",CG(13),6,6,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.272,0.345,0.504,0.849,3,1.97,0.308,3.2,0.30%,0.31,LF
33,368,34,12-May,TEX,,OAK,"W,10-1",CG,5,5,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.285,0.354,0.531,0.885,3,0.52,0.051,0.82,0.05%,1.52,LF CF
34,369,35,13-May,TEX,,OAK,"W,2-1",CG(12),6,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.287,0.353,0.522,0.875,3,1.78,-0.113,3.02,-0.12%,-0.75,LF
35,370,36,14-May,TEX,@,TOR,"L,10-16",GS-8,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.284,0.348,0.511,0.859,3,1.05,-0.012,1.32,-0.01%,-0.84,LF CF
36,371,37,15-May,TEX,@,TOR,"L,0-6",CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.276,0.34,0.497,0.836,3,0.58,-0.062,0.71,-0.05%,-0.66,CF
37,372,38,16-May,TEX,@,TOR,"L,2-5",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.268,0.331,0.483,0.815,3,0.87,-0.107,1.06,-0.08%,-1.17,DH
38,373,40 (1),18-May,TEX,,LAA,"W,8-7",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.335,0.49,0.826,5,1.24,0.087,1.91,0.08%,0.59,LF
39,374,41,19-May,TEX,,BAL,"W,4-3",CG,5,4,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.28,0.343,0.516,0.859,5,1.86,0.213,2.16,0.15%,1.52,LF CF
40,375,42,20-May,TEX,,BAL,"W,13-7",CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.284,0.345,0.512,0.857,5,0.53,0.012,0.67,0.01%,1.05,CF
41,376,43,21-May,TEX,,CHC,"W,2-1",CG,4,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.285,0.344,0.515,0.86,5,1.07,-0.053,1.3,-0.04%,-0.49,CF
42,377,44,22-May,TEX,,CHC,"L,4-5",CG(10),4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.348,0.521,0.869,5,1.26,0.141,1.55,0.10%,0.76,LF
43,378,45,23-May,TEX,,CHC,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0.346,0.514,0.86,5,2.19,-0.161,2.67,-0.12%,-1.1,LF CF
44,379,46,25-May,TEX,@,KCR,"W,8-7",CG,5,4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.288,0.347,0.525,0.873,5,0.54,0.111,0.71,0.09%,0.8,LF CF
