Year,Rk,Rslt,PA,H,HR,SB,BB,WPA,win,0SB,1SB,2SB,3SB,4SB
1995,1,"L,7-8",5,0,0,0,0,-0.231,0,1,0,0,0,0
1995,2,"L,3-7",4,2,0,0,1,0.066,0,1,0,0,0,0
1995,3,"L,9-11",4,1,0,0,1,0.07200000000000001,0,1,0,0,0,0
1995,4,"L,2-3",3,0,0,0,0,-0.07200000000000001,0,1,0,0,0,0
1995,5,"L,2-4",4,1,0,0,0,0.045,0,1,0,0,0,0
1995,6,"W,11-3",4,2,0,0,0,0.055,1,1,0,0,0,0
1995,7,"L,5-11",4,0,0,0,0,-0.053,0,1,0,0,0,0
1995,8,"L,6-8",4,1,0,0,0,-0.08199999999999999,0,1,0,0,0,0
1995,9,"W,6-1",4,1,0,0,1,-0.014,1,1,0,0,0,0
1995,10,"L,3-8",4,1,0,0,0,0.058,0,1,0,0,0,0
1995,11,"L,1-11",3,0,0,0,0,-0.022,0,1,0,0,0,0
1995,12,"L,2-3",3,1,0,0,0,-0.023,0,1,0,0,0,0
1995,13,"W,10-7",4,1,0,0,0,-0.03,1,1,0,0,0,0
1995,14,"W,13-3",0,0,0,0,0,,1,1,0,0,0,0
1995,15,"W,5-4",1,1,0,0,0,0.105,1,1,0,0,0,0
1996,1,"W,7-1",4,1,1,0,0,0.043,1,1,0,0,0,0
1996,2,"W,5-1",4,3,0,1,1,0.102,1,0,1,0,0,0
1996,3,"L,2-4",4,0,0,0,2,-0.022,0,1,0,0,0,0
1996,4,"L,2-7",4,1,0,1,0,-0.076,0,0,1,0,0,0
1996,5,"L,1-4",3,0,0,0,0,-0.066,0,1,0,0,0,0
1996,6,"W,7-3",4,1,0,0,1,0.024,1,1,0,0,0,0
1996,7,"W,5-3",3,0,0,0,2,0.006,1,1,0,0,0,0
1996,8,"W,4-3",3,1,0,0,0,0.048,1,1,0,0,0,0
1996,9,"L,6-10",4,1,0,0,1,0.06,0,1,0,0,0,0
1996,10,"W,12-3",5,1,0,0,2,0.016,1,1,0,0,0,0
1996,11,"L,3-6",4,2,0,0,0,-0.013,0,1,0,0,0,0
1996,12,"L,4-8",4,1,0,0,0,-0.057,0,1,0,0,0,0
