Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1400,1,Apr 5,STL,@,CIN,"W,11-6",CG,5,5,4,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,.800,.800,2.000,2.800,3,.80,0.342,.85,0.22%,4.47,1B
2,1401,2,Apr 7,STL,@,CIN,"W,6-3",CG,5,4,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.556,.600,1.222,1.822,3,.89,0.165,.96,0.11%,1.06,1B
3,1402,3,Apr 8,STL,@,CIN,"L,1-2",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.417,.500,.917,1.417,3,1.10,0.039,1.22,0.03%,0.33,1B
4,1403,4,Apr 9,STL,@,MIL,"W,5-4",CG,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.333,.444,.733,1.178,3,1.60,-0.099,1.85,-0.07%,-1.08,1B
5,1404,5,Apr 10,STL,@,MIL,"W,7-1",CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.316,.409,.632,1.041,3,.34,0.040,.42,0.03%,1.27,1B
6,1405,6,Apr 11,STL,@,MIL,"L,7-8",CG,5,5,2,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,.375,.444,.875,1.319,3,.76,0.063,.97,0.05%,3.42,1B
7,1406,7,Apr 12,STL,,HOU,"W,5-0",CG,4,3,1,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,.407,.484,.963,1.447,3,1.05,0.227,1.23,0.16%,2.66,1B
8,1407,8,Apr 14,STL,,HOU,"W,2-1",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.387,.457,.871,1.328,3,1.12,0.040,1.37,0.03%,0.20,1B
9,1408,9,Apr 15,STL,,HOU,"L,1-5",CG,4,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,.400,.462,.886,1.347,3,.86,-0.011,.99,-0.01%,0.04,1B
10,1409,10,Apr 16,STL,,NYM,"W,4-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.359,.419,.795,1.213,3,1.01,-0.159,1.16,-0.11%,-1.56,1B
11,1410,11,Apr 17,STL,,NYM,"L,1-2",CG(20),9,5,1,2,1,0,0,0,4,2,0,0,0,0,0,0,0,0,.364,.462,.773,1.234,3,2.57,0.327,2.86,0.22%,1.22,1B
12,1411,12,Apr 18,STL,,NYM,"W,5-3",CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.327,.421,.694,1.115,3,1.37,-0.169,1.55,-0.12%,-1.50,1B
