Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
2010,1,762,1,4-Apr,NYY,@,BOS,"L,7-9",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333,0.5,0.333,0.833,8,0.88,-0.051,0.95,-0.03%,-0.92,RF
2010,2,763,2,6-Apr,NYY,@,BOS,"W,6-4",GS-9,5,4,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0.429,0.556,0.714,1.27,7,1.26,0.162,1.29,0.10%,1.69,RF
2010,3,764,3,7-Apr,NYY,@,BOS,"W,3-1",GS-10,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.364,0.462,0.545,1.007,8,1.42,0.082,1.62,0.06%,0.04,RF
2010,4,765,4,9-Apr,NYY,@,TBR,"L,3-9",CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.357,0.471,0.5,0.971,7,0.59,0.066,0.73,0.05%,-0.28,RF
2010,5,766,5,10-Apr,NYY,@,TBR,"W,10-0",GS-8,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.353,0.476,0.471,0.947,6,0.29,0.002,0.35,0.00%,0.53,RF
2010,6,767,6,11-Apr,NYY,@,TBR,"W,7-3",GS-8,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.333,0.44,0.571,1.011,8,1.22,-0.102,1.5,-0.08%,-0.04,RF
2010,7,768,7,13-Apr,NYY,,LAA,"W,7-5",GS-8,4,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.318,0.483,0.545,1.028,8,0.71,-0.037,0.78,-0.02%,0.27,RF
2010,8,769,8,14-Apr,NYY,,LAA,"L,3-5",CG,4,4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.308,0.455,0.577,1.031,8,1.13,0.054,1.24,0.04%,0.34,RF
2010,9,770,9,15-Apr,NYY,,LAA,"W,6-2",CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.267,0.421,0.5,0.921,2,0.44,-0.05,0.5,-0.03%,-0.69,RF
2010,10,771,10,16-Apr,NYY,,TEX,"W,5-1",CG(6),3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.415,0.469,0.883,6,1.11,0.047,1.29,0.03%,0.35,RF
2010,11,772,11,17-Apr,NYY,,TEX,"W,7-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.222,0.378,0.417,0.794,8,0.59,-0.086,0.74,-0.07%,-1.6,RF
2010,12,773,12,18-Apr,NYY,,TEX,"W,5-2",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,0.347,0.375,0.722,8,1.14,-0.125,1.32,-0.09%,-1.52,RF
2010,13,774,13,20-Apr,NYY,@,OAK,"W,7-3",GS-8,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.205,0.34,0.364,0.703,7,0.9,0.122,1.15,0.09%,0.77,RF
2010,14,775,15 (1),22-Apr,NYY,@,OAK,"L,2-4",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.333,0.375,0.708,6,0.82,-0.061,1.05,-0.05%,-0.44,RF
2010,15,776,16,23-Apr,NYY,@,LAA,"L,4-6",CG,4,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.216,0.344,0.431,0.776,8,1.35,0.151,1.71,0.12%,1.23,RF
2010,16,777,17,24-Apr,NYY,@,LAA,"W,7-1",CG,5,4,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0.236,0.354,0.455,0.808,6,0.69,0.143,0.86,0.11%,1.41,RF
2010,17,778,18,25-Apr,NYY,@,LAA,"L,4-8",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.224,0.348,0.431,0.779,2,0.67,-0.017,0.86,-0.01%,-0.22,RF
2010,18,779,19,27-Apr,NYY,@,BAL,"L,4-5",CG,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.37,0.452,0.821,8,0.75,0.023,0.96,0.02%,0.26,DH
2010,19,780,20,28-Apr,NYY,@,BAL,"W,8-3",CG,5,5,2,3,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0.284,0.385,0.493,0.877,8,0.33,0.121,0.43,0.09%,2.14,RF
2010,20,781,21,29-Apr,NYY,@,BAL,"W,4-0",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.264,0.361,0.458,0.82,2,0.71,-0.083,0.89,-0.06%,-1.39,RF
2010,21,782,22,30-Apr,NYY,,CHW,"W,6-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.25,0.345,0.434,0.779,6,0.81,-0.154,1.05,-0.12%,-1.6,RF
