Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,643,1,Apr 4,SEA,,BOS,"L,0-2",CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,3,1.01,-0.011,1.05,-0.0001,-0.08,SS
2,644,2,Apr 5,SEA,,BOS,"W,9-3",CG,5,3,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.2,0.556,0.8,1.356,3,0.58,0.104,0.58,0.0006,1.6,SS
3,645,3,Apr 6,SEA,,BOS,"W,5-2",CG,4,2,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.286,0.615,0.857,1.473,3,2.1,0.373,2.19,0.0023,2.58,SS
4,646,4,Apr 7,SEA,,NYY,"W,7-5",CG,5,2,2,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0.333,0.611,1.111,1.722,3,0.9,0.168,0.97,0.0011,1.07,SS
5,647,5,Apr 8,SEA,,NYY,"L,2-3",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.308,0.545,0.846,1.392,3,1.35,0.036,1.48,0.0002,0.21,SS
6,648,6,Apr 9,SEA,,NYY,"W,9-3",CG,4,4,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0.294,0.5,0.765,1.265,3,1.13,-0.013,1.19,-0.0001,0.67,SS
7,649,7,Apr 11,SEA,@,DET,"L,2-5",CG,5,4,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.333,0.516,0.714,1.23,3,0.89,0.077,0.96,0.0005,0.82,SS
8,650,8,Apr 12,SEA,@,DET,"W,4-0",CG,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.514,0.68,1.194,3,0.73,0.064,0.79,0.0004,0.59,SS
9,651,9,Apr 13,SEA,@,DET,"L,0-2",CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0.333,0.513,0.63,1.142,3,1.28,-0.067,1.44,-0.0005,-0.35,SS
10,652,10,Apr 14,SEA,@,TOR,"W,11-9",CG,5,5,2,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.375,0.523,0.656,1.179,3,0.39,0.047,0.43,0.0003,0.69,SS
