Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,212,1,Apr 1,SEA,,NYY,"W,4-2",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,2,0.71,-0.028,0.75,-0.0002,-0.44,SS
2,213,2,Apr 2,SEA,,NYY,"L,2-16",CG,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.222,0.222,0.333,0.556,2,0.77,-0.098,0.81,-0.0006,-0.84,SS
3,214,3,Apr 4,SEA,,BOS,"L,5-10",CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.286,0.5,2,0.75,-0.078,0.75,-0.0005,-0.79,SS
4,215,4,Apr 5,SEA,,BOS,"L,6-8",CG,5,5,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0.263,0.263,0.421,0.684,2,1.15,0.079,1.12,0.0005,-0.33,SS
5,216,5,Apr 6,SEA,,BOS,"W,8-7",CG(10),5,5,4,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.375,0.375,0.625,1,2,1.74,0.412,1.67,0.0024,2.4,SS
6,217,6,Apr 7,SEA,,CLE,"L,3-8",CG,5,4,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0.321,0.345,0.536,0.881,2,0.78,-0.02,0.77,-0.0001,-0.37,SS
7,218,7,Apr 8,SEA,,CLE,"W,14-8",CG,5,3,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0.355,0.412,0.581,0.992,2,1.01,0.127,0.97,0.0007,1.98,SS
8,219,8,Apr 9,SEA,,CLE,"W,11-1",CG,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.385,0.556,0.94,2,0.32,-0.051,0.33,-0.0003,-0.79,SS
9,220,9,Apr 11,SEA,@,BOS,"W,5-3",CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.325,0.386,0.6,0.986,3,0.92,-0.002,0.93,0,-0.33,SS
10,221,10,Apr 12,SEA,@,BOS,"W,5-1",CG(10),5,5,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.388,0.6,0.988,2,1.51,0.155,1.68,0.001,1.79,SS
11,222,11,Apr 13,SEA,@,BOS,"L,1-7",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.377,0.571,0.949,2,0.52,0.034,0.56,0.0002,0.2,SS
12,223,12,Apr 14,SEA,@,CLE,"W,6-1",CG,5,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.327,0.397,0.577,0.973,2,0.61,0.106,0.65,0.0007,1.01,SS
13,224,13,Apr 15,SEA,@,CLE,"W,8-4",CG,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333,0.397,0.561,0.958,2,0.86,-0.055,0.96,-0.0004,0.22,SS
14,225,14,Apr 16,SEA,@,DET,"W,7-3",CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.344,0.412,0.557,0.969,2,0.83,0.105,0.98,0.0007,0.7,SS
15,226,15,Apr 17,SEA,@,DET,"W,8-6",CG,6,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0.343,0.405,0.537,0.943,2,1.36,0.203,1.58,0.0014,1.92,SS
