Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1999,1,321,1,Apr 5,BOS,@,KCR,"W,5-3",CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,4,0.81,-0.019,0.8,-0.0001,-0.05,SS
1999,2,322,2,Apr 7,BOS,@,KCR,"W,6-0",GS-9,5,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.286,0.5,0.286,0.786,4,0.75,0.093,0.79,0.0006,0.93,SS
1999,3,323,6 (3),Apr 11,BOS,@,TBD,"L,4-5",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.455,0.25,0.705,9,2.92,-0.087,3.8,-0.0007,-0.27,PH
1999,4,324,10 (3),Apr 17,BOS,,TBD,"W,8-5",CG,5,4,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.25,0.438,0.25,0.688,4,1.13,-0.042,1.43,-0.0003,-1.3,SS
1999,5,325,11,Apr 18,BOS,,TBD,"L,1-5",CG,4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0.357,0.55,0.429,0.979,3,0.88,0.157,1.13,0.0012,1.17,SS
1999,6,326,12,Apr 19,BOS,,TBD,"L,1-4",CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.294,0.5,0.353,0.853,4,1.45,-0.086,1.83,-0.0007,-0.62,SS
1999,7,327,13,Apr 20,BOS,@,DET,"W,1-0",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.286,0.464,0.333,0.798,3,1.2,-0.098,1.31,-0.0006,-1.01,SS
1999,8,328,14,Apr 21,BOS,@,DET,"L,2-9",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.292,0.469,0.333,0.802,3,0.49,0.005,0.57,0,-0.04,SS
1999,9,329,15,Apr 22,BOS,@,DET,"L,0-1",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.259,0.429,0.296,0.725,3,0.8,-0.063,0.84,-0.0004,-0.51,SS
1999,10,330,16,Apr 23,BOS,,CLE,"L,6-7",CG,4,4,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0.258,0.41,0.323,0.733,3,1.86,0.073,1.97,0.0005,0.57,SS
1999,11,331,17,Apr 24,BOS,,CLE,"W,9-4",CG,5,5,1,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0.306,0.432,0.361,0.793,3,0.86,0.121,0.86,0.0007,0.6,SS
1999,12,332,18,Apr 25,BOS,,CLE,"W,3-2",CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.388,0.317,0.705,3,1.12,-0.146,1.17,-0.0009,-1.64,SS
1999,13,333,19,Apr 26,BOS,@,MIN,"L,2-6",CG,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.389,0.348,0.737,3,0.58,-0.022,0.61,-0.0001,-0.31,SS
1999,14,334,20,Apr 27,BOS,@,MIN,"L,5-6",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.373,0.333,0.706,3,1.02,-0.112,1.1,-0.0007,-0.66,SS
1999,15,335,21,Apr 28,BOS,@,MIN,"W,9-4",CG,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.286,0.375,0.339,0.714,4,0.6,0.052,0.58,0.0003,1.47,SS
1999,16,336,22,Apr 30,BOS,@,OAK,"L,9-13",CG,5,5,3,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.311,0.391,0.393,0.785,3,1.59,0.358,1.67,0.0023,1.85,SS
1999,17,337,23,May 1,BOS,@,OAK,"W,7-2",CG,5,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.308,0.392,0.385,0.777,4,0.54,-0.011,0.55,-0.0001,-0.22,SS
1999,18,338,24,May 2,BOS,@,OAK,"L,5-7",CG,5,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.319,0.392,0.391,0.784,4,1.61,-0.047,1.7,-0.0003,-0.18,SS
1999,19,339,25,May 3,BOS,@,OAK,"L,11-12",CG(10),6,5,1,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0.324,0.388,0.405,0.794,4,0.75,0.025,0.76,0.0002,0.32,SS
1999,20,340,26,May 5,BOS,,TEX,"L,3-8",CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.321,0.382,0.436,0.818,4,0.57,-0.015,0.57,-0.0001,0.72,SS
1999,21,341,27,May 6,BOS,,TEX,"W,3-2",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.317,0.376,0.439,0.815,4,0.94,0.014,0.87,0.0001,-0.05,SS
1999,22,342,28,May 7,BOS,,ANA,"W,6-0",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.314,0.371,0.43,0.801,4,0.65,0.063,0.64,0.0004,0.61,SS
1999,23,343,29,May 8,BOS,,ANA,"W,6-1",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.311,0.366,0.422,0.789,4,1.07,-0.18,1.04,-0.0011,-2.25,SS
1999,24,344,30,May 9,BOS,,ANA,"W,4-2",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.309,0.362,0.447,0.809,4,1.11,0.014,1.19,0.0001,-0.3,SS
1999,25,345,31,May 10,BOS,,SEA,"W,12-4",CG,5,4,3,3,0,0,3,10,1,0,0,0,0,0,0,0,0,0,0.327,0.382,0.551,0.933,4,0.59,0.254,0.66,0.0017,6.04,SS
1999,26,346,32,May 11,BOS,,SEA,"L,5-8",CG,5,4,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0.324,0.383,0.549,0.932,3,1.11,0.072,1.27,0.0005,0.34,SS
1999,27,347,33,May 12,BOS,,SEA,"W,9-2",CG,5,5,2,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.346,0.4,0.579,0.979,4,0.7,0.099,0.78,0.0007,3.14,SS
1999,28,348,34,May 14,BOS,@,TOR,"W,5-0",CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.339,0.392,0.563,0.955,3,0.55,-0.005,0.78,-0.0001,-0.46,SS
1999,29,349,35,May 15,BOS,@,TOR,"W,6-5",CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.328,0.385,0.543,0.928,4,1.39,-0.122,1.96,-0.001,-1.19,SS
1999,30,350,36,May 16,BOS,@,TOR,"L,6-9",CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.325,0.385,0.533,0.919,4,1.2,-0.085,1.76,-0.0007,-0.41,SS
1999,31,351,37,May 17,BOS,@,TOR,"W,8-7",CG,5,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.336,0.393,0.544,0.937,4,1.46,0.115,2.1,0.001,0.92,SS
1999,32,352,38,May 18,BOS,,NYY,"W,6-3",CG,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.396,0.55,0.946,4,1.12,0.107,1.75,0.001,0.75,SS
