Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1999,1,369,52 (51),Jun 5,COL,,MIL,"W,12-11",GS-8,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.25,1.75,8,0.86,0.016,0.49,0.0001,0.1,2B
1999,2,370,53,Jun 6,COL,,MIL,"W,10-5",GS-7,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.429,0.429,0.857,1.286,1,0.88,-0.017,0.56,-0.0001,-0.04,2B
1999,3,371,54,Jun 7,COL,,SEA,"L,2-4",CG,3,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.5,0.5,1.2,1.7,8,1.46,0.218,1.04,0.0009,2.38,2B
1999,4,372,56 (1),Jun 9,COL,,SEA,"W,16-11",CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.4,0.4,0.933,1.333,1,0.6,0.011,0.34,0,0.18,2B
1999,5,373,57,Jun 11,COL,@,TEX,"L,2-3",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.389,0.421,0.833,1.254,8,1.22,0.011,0.77,0,0.45,2B
1999,6,374,58,Jun 12,COL,@,TEX,"W,8-7",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.391,0.773,1.164,8,0.43,-0.04,0.25,-0.0001,-0.59,2B
1999,7,375,60 (1),Jun 14,COL,,SFG,"W,5-4",CG,4,2,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0.375,0.423,0.875,1.298,1,1.18,0.103,1.05,0.0006,0.91,2B
1999,8,376,61,Jun 15,COL,,SFG,"W,15-6",CG,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.379,0.419,0.793,1.212,8,0.51,0.053,0.49,0.0003,0.84,3B
1999,9,377,62,Jun 16,COL,,SFG,"L,2-15",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.379,0.419,0.793,1.212,2,,,,,,SS
1999,10,378,65 (2),Jun 20,COL,,FLA,"W,8-7",CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.344,0.371,0.719,1.09,8,0.9,-0.067,0.75,-0.0003,-1.34,2B
1999,11,379,66,Jun 22,COL,,CHC,"L,12-13",CG,4,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0.361,0.385,0.778,1.162,8,0.45,0.059,0.45,0.0004,2.31,2B
1999,12,380,67,Jun 23,COL,,CHC,"W,10-1",CG,5,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.35,0.386,0.75,1.136,8,0.36,-0.038,0.34,-0.0002,-0.95,2B
1999,13,381,68,Jun 24,COL,,CHC,"L,10-12",9-GF,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.366,0.4,0.78,1.18,8,1.96,0.12,2.01,0.0007,1.12,PH
1999,14,382,70 (1),Jun 26,COL,@,SDP,"L,6-13",5-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.391,0.762,1.153,9,0.31,-0.008,0.28,0,-0.24,PH
1999,15,383,71,Jun 27,COL,@,SDP,"L,3-5",GS-9,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.333,0.38,0.711,1.091,1,0.82,-0.09,0.72,-0.0005,-0.86,CF
1999,16,384,73 (1),Jun 29,COL,@,SFG,"L,1-10",5-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.326,0.373,0.696,1.068,9,0.31,-0.008,0.24,0,-0.17,PH
1999,17,385,75 (1),Jul 1,COL,@,SFG,"L,1-7",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.327,0.382,0.673,1.055,1,1.03,0.031,0.67,0.0001,0.16,2B
1999,18,386,76,Jul 2,COL,,SDP,"L,3-15",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.375,0.66,1.035,9,0.09,-0.002,0.04,0,-0.23,PH
1999,19,387,78 (1),Jul 3 (2),COL,,SDP,"W,8-6",GS-7,4,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.327,0.4,0.654,1.054,7,0.59,0.087,0.25,0.0002,1.19,2B
1999,20,388,79,Jul 4,COL,,SDP,"L,0-11",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.393,0.642,1.035,9,0.05,-0.001,0.02,0,-0.39,3B
1999,21,389,80,Jul 5,COL,,LAD,"W,8-4",7-8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.321,0.403,0.642,1.045,9,0.72,0.03,0.26,0.0001,0.3,PH
1999,22,390,81,Jul 6,COL,,LAD,"W,5-2",CG,4,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.351,0.424,0.684,1.108,7,1.02,0.204,0.41,0.0005,1.9,2B
1999,23,391,82,Jul 7,COL,,LAD,"W,7-5",6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.418,0.672,1.09,9,0.73,-0.021,0.36,-0.0001,-0.15,PH
1999,24,392,83,Jul 8,COL,,LAD,"L,8-11",CG,5,4,2,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0.371,0.444,0.742,1.186,7,1.27,0.272,0.65,0.0008,2.81,3B
1999,25,393,84,Jul 9,COL,,ANA,"L,6-9",6-7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.371,0.452,0.742,1.194,9,1.83,0.037,0.77,0.0001,0.27,PH
1999,26,394,85,Jul 10,COL,,ANA,"L,3-9",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.348,0.429,0.697,1.126,7,0.5,-0.057,0.18,-0.0001,-1.15,2B
1999,27,395,88 (2),Jul 16,COL,@,CIN,"W,6-2",CG,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.348,0.425,0.681,1.106,7,0.56,-0.01,0.16,0,-0.61,2B
1999,28,396,89,Jul 17,COL,@,CIN,"L,2-3",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.347,0.429,0.667,1.095,7,1.57,-0.013,0.58,0,0.05,2B
1999,29,397,92 (2),Jul 20,COL,@,OAK,"L,3-4",CG,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.325,0.404,0.623,1.028,2,1.46,-0.267,0.32,-0.0004,-1.09,2B
1999,30,398,94 (1),Jul 22 (1),COL,@,LAD,"W,4-1",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.398,0.605,1.003,8,0.89,-0.061,0.2,-0.0001,-0.76,3B 2B
1999,31,399,95,Jul 22 (2),COL,@,LAD,"W,12-11",3-GF,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.31,0.385,0.583,0.969,7,1.13,-0.091,0.3,-0.0001,-1.12,PH 2B
1999,32,400,96,Jul 23,COL,,STL,"L,4-6",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.39,0.591,0.981,8,0.9,-0.036,0.25,-0.0001,-0.42,2B CF
1999,33,401,97,Jul 24,COL,,STL,"L,2-10",CG,5,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.319,0.4,0.593,0.993,8,0.42,0.012,0.09,0,-0.48,2B CF
1999,34,402,98,Jul 25,COL,,STL,"L,4-6",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.326,0.404,0.6,1.004,7,0.84,0.015,0.14,0,0.22,2B
1999,35,403,99,Jul 26,COL,,HOU,"L,5-8",CG,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.323,0.398,0.586,0.984,8,1.13,-0.011,0.16,0,-0.21,3B 2B
1999,36,404,100,Jul 27,COL,,HOU,"L,3-6",CG,4,3,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0.324,0.393,0.578,0.972,7,1.07,-0.048,0.12,0,-0.42,2B
1999,37,405,101,Jul 28,COL,,HOU,"L,8-16",CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.33,0.402,0.575,0.977,7,0.37,-0.02,0.02,0,1.33,2B
