Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1999,1,939,1,Apr 5,NYY,@,OAK,"L,3-5",CG(8),4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,4,1.63,-0.033,1.67,-0.0002,-0.25,CF
1999,2,940,2,Apr 6,NYY,@,OAK,"W,7-4",CG,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.375,0.444,0.375,0.819,4,0.26,-0.006,0.25,0,-0.24,CF
1999,3,941,3,Apr 7,NYY,@,OAK,"W,4-0",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.308,0.25,0.558,4,0.84,-0.079,0.85,-0.0005,-1.31,CF
1999,4,942,4,Apr 9,NYY,,DET,"W,12-3",GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.25,0.2,0.45,4,0.57,-0.025,0.59,-0.0002,-0.56,CF
1999,5,943,5,Apr 10,NYY,,DET,"W,5-0",CG,4,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.316,0.35,0.316,0.666,4,0.74,0.071,0.81,0.0005,1.8,CF
1999,6,944,6,Apr 11,NYY,,DET,"W,11-2",CG,5,5,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.36,0.333,0.693,4,0.48,0.032,0.53,0.0002,1.06,CF
1999,7,945,7,Apr 13,NYY,,BAL,"W,6-3",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.379,0.37,0.75,4,2.01,0.216,2.46,0.0016,0.46,CF
1999,8,946,8,Apr 14,NYY,,BAL,"W,14-7",CG,5,5,1,2,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0.344,0.382,0.438,0.82,4,0.88,0.176,1.1,0.0013,2.02,CF
1999,9,947,9,Apr 15,NYY,,BAL,"L,7-9",CG,4,3,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.371,0.421,0.543,0.964,4,1.38,0.122,1.86,0.001,1.28,CF
1999,10,948,10,Apr 16,NYY,@,DET,"L,1-8",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.405,0.513,0.918,4,0.25,-0.005,0.3,0,-0.45,CF
